POOL_ADDRESS,TOKEN_ADDRESS,TOKEN_INDEX,TOKEN_SYMBOL,TOKEN_DECIMALS,TOKEN_NAME,POOL_NAME,POOL_ID,_INSERTED_TIMESTAMP
0x50c8f34cea0e65535fc2525b637ccd8a07c90896,0xed03ed872159e199065401b6d0d487d78d9464aa,0,MXNt,6,TetherToken,Curve.fi Pool: MXNt-3Crv ,0x50c8f34cea0e65535fc2525b637ccd8a07c908960xed03ed872159e199065401b6d0d487d78d9464aa,2022-09-27T16:44:04Z
0xc12a73c46d49fa0d7433c90291bc8d1a9eae7b23,0xed03ed872159e199065401b6d0d487d78d9464aa,0,MXNt,6,TetherToken,Curve.fi Pool: MXNt-USDC ,0xc12a73c46d49fa0d7433c90291bc8d1a9eae7b230xed03ed872159e199065401b6d0d487d78d9464aa,2022-09-27T16:44:04Z
0x039fd59541b3989c7a1e9278431038b3b6ba5f43,0xed03ed872159e199065401b6d0d487d78d9464aa,0,MXNt,6,TetherToken,Curve.fi Pool: MXNt-3Crv ,0x039fd59541b3989c7a1e9278431038b3b6ba5f430xed03ed872159e199065401b6d0d487d78d9464aa,2022-09-27T16:44:04Z
0x87510ef3573122f8cd4e3035ded958822f6a381a,0xebe534c54a2ae65d5bedd5872824c2a5af855bb0,0,USTP,8,USTP,Curve.fi Pool: USTP-3Crv ,0x87510ef3573122f8cd4e3035ded958822f6a381a0xebe534c54a2ae65d5bedd5872824c2a5af855bb0,2022-09-27T16:44:04Z
0x93054188d876f558f4a66b2ef1d97d16edf0895b,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0,renBTC,8,renBTC,Curve.fi Pool: renBTC-WBTC ,0x93054188d876f558f4a66b2ef1d97d16edf0895b0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,2040-01-01T00:00:00Z
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0,renBTC,8,renBTC,Curve.fi Pool: renBTC-WBTC-sBTC ,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a97140xeb4c2781e4eba804ce9a9803c67d0893436bb27d,2040-01-01T00:00:00Z
0x7abd51bba7f9f6ae87ac77e1ea1c5783ada56e5c,0xea3fb6f331735252e7bfb0b24b3b761301293dbe,0,USDV,18,Vader USD,Curve.fi Pool: USDV-3Crv ,0x7abd51bba7f9f6ae87ac77e1ea1c5783ada56e5c0xea3fb6f331735252e7bfb0b24b3b761301293dbe,2022-09-27T16:44:04Z
0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,1,aETH,18,Ankr Eth2 Reward Bearing Bond,Curve.fi Pool: WETH-aETH ,0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae20xe95a203b1a91a908f9b9ce46459d101078c2c3cb,2040-01-01T00:00:00Z
0x808db6e464279c6a77a1164e0b34d64bd6fb526e,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,0,JPEG,18,JPEGd Governance Token,Curve.fi Pool: JPEG-pETH ,0x808db6e464279c6a77a1164e0b34d64bd6fb526e0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,2022-11-02T18:27:52Z
0x7e050cf658777cc1da4a4508e79d71859044b60e,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,1,JPEG,18,JPEGd Governance Token,Curve.fi Pool: WETH-JPEG ,0x7e050cf658777cc1da4a4508e79d71859044b60e0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,2022-09-27T16:44:04Z
