atoken_symbol,atoken_address,atoken_stable_debt_address,atoken_variable_debt_address,atoken_decimals,atoken_version,atoken_created_block,underlying_symbol,underlying_address,underlying_decimals,atoken_name,underlying_name
aAmmDAI,0x79be75ffc64dd58e66787e4eae470c8a1fd08ba4,0x8da51a5a3129343468a63a96ccae1ff1352a3dfe,0x3f4fa4937e72991367dc32687bc3278f095e7eaa,18,amm,11998921,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18,Aave AMM Market DAI,Dai Stablecoin
aAmmUSDC,0xd24946147829deaa935be2ad85a3291dbf109c80,0xe5971a8a741892f3b3ac3e9c94d02588190ce220,0xcfdc74b97b69319683fec2a4ef95c4ab739f1b12,18,amm,11998921,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Aave AMM Market USDC,USD Coin
aAmmUSDT,0x17a79792fe6fe5c95dfe95fe3fcee3caf4fe4cb7,0x04a0577a89e1b9e8f6c87ee26cce6a168fffc5b5,0xdcfe9bfc246b02da384de757464a35efca402797,18,amm,11998921,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6,Aave AMM Market USDT,Tether USD
aAmmWBTC,0x13b2f6928d7204328b0e8e4bcd0379aa06ea21fa,0x55e575d092c934503d7635a837584e2900e01d2b,0x3b99fdafdfe70d65101a4ba8cdc35dafbd26375f,18,amm,11998925,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,Aave AMM Market WBTC,Wrapped BTC
aAmmUniDAIWETH,0x9303eabc860a743aabcc3a1629014cabcc3f8d36,0xe9562bf0a11315a1e39f9182f446ea58002f010e,0x23bcc861b989762275165d08b127911f09c71628,18,amm,11998925,UNI-V2,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,18,Aave AMM Market UniDAIWETH,UniDAIWETH
aAmmUniWBTCWETH,0xc58f53a8adff2fb4eb16ed56635772075e2ee123,0xeef7d082d9be2f5ec73c072228706286dea1f492,0x02aaeb4c7736177242ee0f71f6f6a0f057aba87d,18,amm,11998925,UNI-V2,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,18,Aave AMM Market UniWBTCWETH,UniWBTCWETH
aAmmUniAAVEWETH,0xe59d2ff6995a926a574390824a657eed36801e55,0x997b26eff106f138e71160022caab0afc5814643,0x859ed7d9e92d1fe42ff95c3bc3a62f7cb59c373e,18,amm,11998925,UNI-V2,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,18,Aave AMM Market UniAAVEWETH,UniAAVEWETH
aAmmUniBATWETH,0xa1b0edf4460cc4d8bfaa18ed871bff15e5b57eb4,0x27c67541a4ea26a436e311b2e6ffec82083a6983,0x3fbef89a21dc836275bc912849627b33c61b09b4,18,amm,11998926,UNI-V2,0xb6909b960dbbe7392d405429eb2b3649752b4838,18,Aave AMM Market UniBATWETH,UniBATWETH
aAmmUniDAIUSDC,0xe340b25fe32b1011616bb8ec495a4d503e322177,0x6bb2bdd21920fcb2ad855ab5d523222f31709d1f,0x925e3fdd927e20e33c3177c4ff6fb72ad1133c87,18,amm,11998926,UNI-V2,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,18,Aave AMM Market UniDAIUSDC,UniDAIUSDC
aAmmUniCRVWETH,0x0ea20e7ffb006d4cfe84df2f72d8c7bd89247db0,0xd6035f8803ee9f173b1d3ebc3bde0ea6b5165636,0xf3f1a76ca6356a908cdcde6b2ac2eaace3739cd0,18,amm,11998926,UNI-V2,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,18,Aave AMM Market UniCRVWETH,UniCRVWETH
